id,ndvi,fecha
54,0.2831169,2020-11-09T00:00:00Z
54,0.1212121,2020-11-24T00:00:00Z
54,0.0888087,2020-11-29T00:00:00Z
55,0.061706,2020-09-10T00:00:00Z
55,0.0571803,2020-09-20T00:00:00Z
55,0.0804211,2020-10-10T00:00:00Z
55,0.0780856,2020-10-15T00:00:00Z
55,0.0825083,2020-10-20T00:00:00Z
55,0.0781311,2020-10-30T00:00:00Z
55,0.0701493,2020-11-09T00:00:00Z
55,0.0667169,2020-11-24T00:00:00Z
55,0.0672237,2020-11-29T00:00:00Z
56,0.0855876,2020-09-10T00:00:00Z
56,0.0732143,2020-09-20T00:00:00Z
56,0.1490159,2020-10-10T00:00:00Z
56,0.1317393,2020-10-15T00:00:00Z
56,0.109462,2020-10-20T00:00:00Z
56,0.1473923,2020-10-30T00:00:00Z
56,0.1322849,2020-11-09T00:00:00Z
56,0.1143667,2020-11-24T00:00:00Z
56,0.1224209,2020-11-29T00:00:00Z
57,-0.1048797,2020-09-10T00:00:00Z
57,-0.0901804,2020-09-20T00:00:00Z
57,-0.0569906,2020-10-10T00:00:00Z
57,0.0951157,2020-10-15T00:00:00Z
57,0.0866418,2020-10-20T00:00:00Z
57,-0.0058581,2020-10-30T00:00:00Z
57,0.0191708,2020-11-09T00:00:00Z
57,0.1943463,2020-11-24T00:00:00Z
57,0.070814,2020-11-29T00:00:00Z
58,0.071019,2020-09-10T00:00:00Z
58,0.0739229,2020-09-20T00:00:00Z
58,0.0519573,2020-10-10T00:00:00Z
58,0.148773,2020-10-15T00:00:00Z
58,0.0451523,2020-10-20T00:00:00Z
58,0.0933143,2020-10-30T00:00:00Z
58,0.0895317,2020-11-09T00:00:00Z
58,0.1191747,2020-11-24T00:00:00Z
58,0.082291,2020-11-29T00:00:00Z
59,0.4882629,2020-09-10T00:00:00Z
59,0.4606011,2020-09-20T00:00:00Z
59,0.2484994,2020-10-10T00:00:00Z
59,0.1791908,2020-10-15T00:00:00Z
59,0.1532371,2020-10-20T00:00:00Z
59,0.1197411,2020-10-30T00:00:00Z
59,0.1346877,2020-11-09T00:00:00Z
59,0.0928598,2020-11-24T00:00:00Z
59,0.1214689,2020-11-29T00:00:00Z
60,0.314433,2020-09-10T00:00:00Z
60,0.2095238,2020-09-20T00:00:00Z
60,0.1889874,2020-10-10T00:00:00Z
60,0.110542,2020-10-15T00:00:00Z
60,0.1228522,2020-10-20T00:00:00Z
60,0.1064163,2020-10-30T00:00:00Z
60,0.1177126,2020-11-09T00:00:00Z
60,0.0572809,2020-11-24T00:00:00Z
